age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
50.0,blue-collar,single,basic.4y,no,no,no,telephone,may,thu,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
51.0,services,married,professional.course,unknown,,no,telephone,may,mon,5.0,999.0,0.0,nonexistent,,93.994,-36.4,4.858,5191.0,0
46.0,technician,divorced,professional.course,no,yes,no,cellular,may,mon,2.0,999.0,,nonexistent,-1.8,92.893,-46.2,1.244,,0
46.0,admin.,single,university.degree,no,yes,no,,jun,mon,1.0,999.0,0.0,nonexistent,,94.465,-41.8,4.961,5228.1,0
25.0,services,single,high.school,no,no,no,cellular,may,thu,5.0,999.0,0.0,nonexistent,-1.8,,-46.2,1.266,5099.1,1
52.0,technician,married,basic.6y,unknown,no,no,cellular,,thu,3.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.266,5099.1,0
29.0,technician,,university.degree,no,yes,no,cellular,jun,wed,1.0,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0
42.0,technician,married,professional.course,unknown,no,no,cellular,jul,,3.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
,admin.,married,basic.4y,no,yes,yes,cellular,nov,mon,3.0,999.0,0.0,nonexistent,-0.1,93.2,,4.191,5195.8,0
47.0,housemaid,married,unknown,no,yes,no,cellular,nov,wed,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
40.0,technician,married,basic.9y,no,yes,no,cellular,jul,thu,1.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
54.0,management,married,high.school,no,no,no,cellular,aug,wed,3.0,999.0,1.0,failure,-1.7,94.027,-38.3,0.894,4991.6,0
50.0,management,married,university.degree,no,yes,no,telephone,may,wed,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
44.0,blue-collar,married,basic.9y,unknown,yes,no,,jul,mon,2.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
38.0,blue-collar,married,basic.9y,unknown,no,yes,cellular,apr,fri,2.0,999.0,2.0,failure,-1.8,93.075,-47.1,1.405,,0
,blue-collar,married,basic.6y,,yes,no,telephone,may,fri,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1
31.0,management,married,university.degree,no,no,no,cellular,aug,mon,4.0,999.0,0.0,nonexistent,1.4,,-36.1,4.965,5228.1,0
49.0,services,married,high.school,no,yes,no,cellular,may,thu,,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
40.0,technician,married,professional.course,no,yes,yes,cellular,jul,wed,1.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
36.0,blue-collar,married,unknown,no,no,no,cellular,may,thu,2.0,999.0,0.0,nonexistent,,92.893,-46.2,1.327,,0
27.0,,single,high.school,unknown,yes,yes,cellular,may,mon,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,,5099.1,0
44.0,blue-collar,married,professional.course,unknown,no,no,cellular,jul,tue,11.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
41.0,technician,single,professional.course,no,yes,no,cellular,aug,,1.0,999.0,,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
46.0,services,married,high.school,no,yes,no,cellular,apr,wed,2.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0
40.0,blue-collar,married,basic.9y,no,no,,cellular,apr,thu,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1
30.0,self-employed,married,professional.course,no,no,no,telephone,may,tue,2.0,,0.0,nonexistent,1.1,,-36.4,4.856,5191.0,0
34.0,technician,married,university.degree,no,no,no,cellular,jul,thu,1.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
45.0,blue-collar,single,high.school,unknown,yes,no,cellular,may,,6.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.244,5099.1,0
50.0,housemaid,married,unknown,no,,no,cellular,aug,tue,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
33.0,technician,single,,no,no,no,,sep,fri,2.0,999.0,0.0,nonexistent,-3.4,92.379,-29.8,0.741,5017.5,0
46.0,blue-collar,married,basic.9y,no,yes,yes,telephone,,fri,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
38.0,technician,single,university.degree,no,no,no,telephone,jun,mon,6.0,999.0,0.0,nonexistent,1.4,94.465,,4.865,5228.1,0
24.0,admin.,single,professional.course,no,yes,no,cellular,apr,mon,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1
41.0,management,married,university.degree,no,yes,no,cellular,aug,thu,1.0,999.0,0.0,nonexistent,1.4,,-36.1,4.964,5228.1,0
57.0,retired,divorced,university.degree,no,no,no,telephone,jul,tue,2.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,0
27.0,admin.,single,professional.course,no,yes,yes,telephone,apr,thu,3.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0
55.0,technician,married,basic.9y,,no,no,cellular,may,mon,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0
56.0,retired,married,basic.6y,no,yes,no,telephone,may,wed,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
51.0,admin.,married,university.degree,no,yes,yes,cellular,nov,,3.0,999.0,1.0,failure,-0.1,,,,5195.8,0
30.0,admin.,single,university.degree,no,yes,no,cellular,jul,tue,3.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
36.0,services,married,high.school,unknown,yes,,telephone,may,thu,1.0,999.0,0.0,nonexistent,1.1,,-36.4,,5191.0,0
32.0,self-employed,single,high.school,no,yes,no,,nov,mon,1.0,999.0,1.0,failure,-0.1,93.2,-42.0,4.191,5195.8,0
32.0,admin.,married,university.degree,no,yes,no,telephone,may,thu,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
41.0,technician,married,professional.course,no,no,no,telephone,may,mon,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
,blue-collar,married,basic.6y,no,no,no,cellular,nov,wed,3.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
32.0,technician,married,university.degree,no,yes,no,cellular,nov,wed,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,,5195.8,0
49.0,admin.,divorced,professional.course,no,yes,yes,cellular,aug,mon,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
